@relation 'bookkeeperdataset-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute AVG_Churn numeric
@attribute AVG_ChgSet numeric
@attribute WeightedAge numeric
@attribute Buggy {NO,YES}

@data
-34,22.571428,78.57204,YES
1.5,29,75.685715,NO
0,0,0,NO
0,0,0,NO
21.833334,22,75.1864,YES
41.11111,20.11111,75.27727,YES
3.333333,26.333334,74.45,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,79,91,NO
0,79,91,NO
0,79,91,NO
73,15.666667,80.59081,YES
0,0,0,NO
10.666667,24.666666,80.542854,NO
59,22,72,NO
1,18,69,YES
1,18,69,YES
1,18,69,YES
0,0,0,NO
-7,7,76,YES
143.75,10.166667,86.39191,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
5,4,93,YES
0,0,0,NO
0,0,0,NO
20.4,15.2,85.75969,YES
159.14285,13.357142,89.38122,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
7,24,69,YES
56.125,17.375,81.63938,YES
14,17,79.702705,YES
58.11111,13.777778,82.42249,YES
0,0,0,NO
-5.5,24.5,79.84615,NO
191.45454,12.636364,82.62103,YES
0,0,0,NO
2.5,24,91.2,NO
0,0,0,NO
6,32,71.695656,NO
0,0,0,NO
1,30,69,NO
5,25,66,NO
0,0,0,NO
0,0,0,NO
33.42857,16,90.075035,YES
0,0,0,NO
17,7,92,NO
0,0,0,NO
8,26,83,NO
4.5,17,82.166664,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
14,7,77,YES
0,0,0,NO
0,35.5,75.416664,NO
0,0,0,NO
122.6,12.2,83.095024,YES
35.5,20.5,73.53658,NO
28.6,12.6,83.16,YES
95.166664,13.5,80.19775,YES
0,0,0,NO
7.5,19.5,79.85714,NO
3,41,76,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
-106,21,70,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
38,25,66,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
346.66666,28.555555,85.106,YES
18,23,88.04256,YES
19.5,23.75,87.537735,YES
36.25,22.25,87.55882,YES
5.8,15.2,83.35185,YES
0,79,91,NO
8,29.833334,82.754715,NO
18.25,21.25,87.09151,YES
32.5,37.25,86.13513,YES
1.25,33,89.48485,YES
0,0,0,NO
8,33,91.77778,YES
8,19.666666,82.1,YES
0,0,0,NO
10,25,66,NO
112.75,34.5,80.635414,NO
0,0,0,NO
1.666667,44.666668,79.7,NO
0,0,0,NO
14.25,30.25,90.48649,YES
2,25,75.25,NO
0,0,0,NO
0,0,0,NO
14,50,81.84615,NO
0,79,91,NO
2,31,86,YES
0,0,0,NO
-0.666667,20,57.2,YES
0,0,0,NO
11.333333,37.333332,68.931816,YES
7707.0713,19.428572,55.865757,YES
8.333333,41.666668,66.22449,YES
0,79,62,NO
0,79,61,NO
-51,14.384615,49.74107,YES
0,79,59,NO
13.5,4.5,56.617645,YES
18.666666,44.666668,55.94366,YES
0,0,0,NO
0,0,0,NO
72.4,16,47.470272,YES
20,9,54.32895,YES
91,8.833333,55.269703,YES
0,79,58,NO
0,55,56.333332,YES
106.28571,23.428572,43.08513,YES
-16.8,25.8,47.054688,YES
-31.8,25.8,51.05102,YES
34,26.2,41.41905,NO
0,31.5,49.172413,NO
135.5,23.75,41.906857,NO
85.5,15,49.12808,YES
15,47.333332,47.9,NO
61.25,38.5,48.05143,YES
43,47.5,51.18868,NO
1,55,51.333332,YES
0,0,0,NO
1,2,45,YES
-1,50,41.666668,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
12,12,24,YES
1,12,38,YES
0,0,0,NO
117,16.333334,35.081482,YES
12,9,42,YES
-28.714285,19.142857,33.39761,YES
9,8,27,NO
-12,15.5,35.214287,YES
0,13,44,YES
3,29.333334,38.107143,YES
6,6,31,NO
7.5,12,37.08,YES
18.333334,37.666668,37.412697,YES
0,79,44,NO
10.857142,19.714285,36.195404,YES
-24,41,40.04348,NO
0,0,0,NO
0,0,0,NO
0,0,0,NO
7,21,26,NO
-53,55,39.219513,YES
62.333332,18,31.964285,YES
32.666668,43.666668,35.43871,YES
-12.4,15,31.1,YES
39,44,33.51181,YES
0,0,0,NO
98.07143,12.214286,40.281322,YES
0,0,0,NO
0,0,0,NO
0,0,0,NO
79.888885,16.222221,38.027752,YES
0,0,0,NO
0,0,0,NO
-1,13,38,YES
0,13,38,YES
-4,8,29,NO
0,0,0,NO
6,4,18,YES
0,0,0,NO
11,18,16,YES
0,6,38.333332,YES
0,0,0,NO
87.333336,16.166666,36.934563,YES
0,0,0,NO
8.166667,29.333334,30.1,YES
16.5,31.5,25.163935,NO
0,79,37,NO
6.375,16.25,33.695908,YES
18,13,35,YES
1.5,13.166667,28.01064,YES
0,0,0,NO
33,21,17,NO
3,32.75,33.510204,YES
94.75,25,24.894989,YES
797,11.8,12.640188,YES
58,15.5,9.076923,NO
0,15,0,NO
0,15,0,NO
0,15,0,NO
0,15,0,NO
0,15,0,NO
85,23.75,12.005797,NO
85.5,23.75,12.043227,NO
